,departamento,año,canon minero,casos intervenidos  por el delito de trata de personas,empleo informal miles,incidencia de pobreza,indice analfabetismo,indice de acceso a agua,pob-total-estimada,poblacion con al menos una necesidad basica insatisfecha,porcentaje de la población afiliada a algún seguro de salud,prom eduacion de 15 anos a mas,tasa de desempleo,tasa denuncia de delitos,violencia fisica,violencia sicologica
56,pasco,2018,69258.0,5.0,135.5,34.55,6.3,77.4,271704.0,33.41270104,84.4,10.0,3.6,81.3,29.5,66.5
57,piura,2016,31623.0,58.0,726.4,34.25,7.9,83.5,1895889.0,26.643838,74.5,9.2,3.1,90.7,32.3,68.4
58,piura,2017,5205.0,58.0,703.0,24.6,7.6,84.8,1933993.0,26.97314831,76.8,9.4,2.8,107.6,30.3,63.3
59,piura,2018,698.0,64.0,741.0,23.1,8.0,85.4,1974368.0,24.57737719,77.9,9.4,2.9,125.9,34.5,63.3
60,puno,2016,87175.0,98.0,657.6,34.25,9.2,67.6,1231778.0,26.66415203,70.1,9.6,3.1,33.2,42.2,76.0
61,puno,2017,91418.0,111.0,683.2,35.05,9.5,69.0,1233676.0,24.1893457,71.5,9.8,3.0,29.1,38.7,71.7
62,puno,2018,91766.0,113.0,696.2,34.55,8.7,66.0,1236836.0,19.95581854,70.7,9.9,3.2,36.1,42.3,75.4
63,san martin,2016,943.0,48.0,380.4,22.65,7.1,86.9,831960.0,38.28290116,85.2,8.6,1.7,43.8,38.2,60.6
64,san martin,2017,1056.0,45.0,404.3,24.6,8.4,85.8,848910.0,34.15692714,85.3,8.7,2.3,60.0,36.6,53.0
65,san martin,2018,1077.0,47.0,398.5,23.1,7.3,85.8,866861.0,32.84088928,82.1,8.8,1.0,100.3,33.3,49.8
66,tacna,2016,177660.0,75.0,134.9,16.05,4.5,91.1,337630.0,9.839045183,57.6,10.9,3.7,93.3,33.4,55.3
67,tacna,2017,94716.0,87.0,131.4,13.35,3.4,92.8,345911.0,8.780642175,54.8,10.7,4.2,114.6,26.9,45.5
68,tacna,2018,166693.0,83.0,138.2,12.55,3.2,95.0,354644.0,9.318470814,57.6,10.9,2.8,140.6,29.8,44.4
69,tumbes,2016,0.0,36.0,104.2,10.8,3.0,82.5,230598.0,28.56734781,86.9,9.9,3.4,136.1,31.3,64.5
70,tumbes,2017,46.0,43.0,102.3,13.35,3.7,79.1,235813.0,25.58974168,85.7,10.0,4.2,181.0,30.1,60.1
71,tumbes,2018,23.0,33.0,101.8,12.55,3.0,83.7,241321.0,26.23824625,84.0,10.0,5.0,241.1,33.2,64.0
72,ucayali,2016,0.0,8.0,217.2,10.8,4.7,71.2,527717.0,45.19149011,72.9,9.5,1.9,122.3,31.0,65.8
73,ucayali,2017,0.0,17.0,216.5,13.35,4.5,71.6,542847.0,42.29384795,75.2,9.4,2.7,138.6,24.4,44.3
74,ucayali,2018,0.0,19.0,215.6,12.55,4.5,76.0,558767.0,40.55262547,74.2,9.7,2.7,166.6,25.2,45.6
